#mass,radius,vx,vy,vz,x,y,z
#system.get('S.I.').base('mass'),system.get('S.I.').base('length'),(system.get('S.I.').base('length') * (system.get('S.I.').base('time')**-1)),(system.get('S.I.').base('length') * (system.get('S.I.').base('time')**-1)),(system.get('S.I.').base('length') * (system.get('S.I.').base('time')**-1)),system.get('S.I.').base('length'),system.get('S.I.').base('length'),system.get('S.I.').base('length')
#kg,m,m * s**-1,m * s**-1,m * s**-1,m,m,m
2.95730520134e+29,0.0,19332.9486145,27832.0919113,124066.203322,2.66625324567e+19,-2.53206496959e+18,5.5314889894e+18
7.74429168058e+29,0.0,17646.8542847,28183.3563474,121547.436254,2.6584186656e+19,-2.44230559697e+18,5.94435041733e+18
1.2566594172e+30,0.0,20165.1791183,28058.6013868,125179.87805,2.67484316478e+19,-2.42492987574e+18,5.27013693016e+18
7.5862811061e+29,0.0,16885.7886619,28475.5890895,121178.84334,2.65865067926e+19,-2.26277899899e+18,6.01144354402e+18
3.36125179476e+29,0.0,17710.1620458,28094.4006989,122237.496542,2.65460210148e+19,-2.39484866939e+18,5.88213003549e+18
3.38033802991e+29,0.0,17514.4625193,27911.7533067,123434.991654,2.6644179296e+19,-2.40913885696e+18,5.59079245782e+18
2.26284368842e+29,0.0,19457.679834,28564.1176995,123268.453898,2.66146397018e+19,-2.36810153141e+18,5.70599646036e+18
2.89249197027e+29,0.0,21156.4207094,27733.4048053,126288.954362,2.68038602427e+19,-2.58045581686e+18,5.05846845182e+18
2.9545090103e+29,0.0,19730.0093068,27896.7434206,125769.90033,2.6732540019e+19,-2.54725103656e+18,5.13568430998e+18
3.45821323023e+29,0.0,20078.3254599,26943.4362789,124419.814773,2.670138881e+19,-2.66907579083e+18,5.45718215866e+18
3.11287526367e+29,0.0,19152.1219214,27551.6508879,124860.533518,2.67583941919e+19,-2.65991754185e+18,5.25385682901e+18
1.32034222542e+30,0.0,20373.9966414,26978.9696459,125813.12732,2.68233307134e+19,-2.82166606099e+18,5.06634529089e+18
2.3749562976e+29,0.0,18054.9139876,28319.1035061,121973.101017,2.66099058392e+19,-2.30807148919e+18,5.89616050871e+18
2.04737936743e+29,0.0,16377.473789,27870.7564899,121593.712047,2.66530104682e+19,-2.39152161669e+18,5.88400617129e+18
