#mass,x,y,z,vx,vy,vz
#(1.98892e+30 * system.get('S.I.').base('mass')),(3.08567758128e+19 * system.get('S.I.').base('length')),(3.08567758128e+19 * system.get('S.I.').base('length')),(3.08567758128e+19 * system.get('S.I.').base('length')),((1000.0 * system.get('S.I.').base('length')) * (system.get('S.I.').base('time')**-1)),((1000.0 * system.get('S.I.').base('length')) * (system.get('S.I.').base('time')**-1)),((1000.0 * system.get('S.I.').base('length')) * (system.get('S.I.').base('time')**-1))
#MSun,kpc,kpc,kpc,kms,kms,kms
0.106643488975,-0.210912398304,-0.137046354423,-0.305562160864,140.711738194,-30.9946521998,-117.932366205
0.755562302317,-0.231115804289,-0.133562246055,-0.293510450101,138.746076789,-32.1495154327,-123.321952864
1.69623829982,-0.207111166401,-0.137862646382,-0.307038972343,140.734911138,-30.9450784792,-117.577775638
0.184437065644,-0.216241809202,-0.130989144263,-0.297216742401,139.884362616,-32.1240843336,-122.310393384
0.137380552766,-0.218108127861,-0.141076644524,-0.301784325465,139.809607965,-30.753989724,-119.71548525
0.117016466516,-0.227006149635,-0.139668823097,-0.301367511363,139.318068914,-30.1312609675,-119.88164571
0.193281461189,-0.213081815583,-0.138605623183,-0.305342482933,140.352166568,-31.0360943786,-118.404602889
6.54007561288,-0.217521857904,-0.128050222376,-0.295247511355,139.776940024,-32.5251363564,-123.498280719
0.22310065303,-0.225173892115,-0.140407171228,-0.306183639122,139.619079608,-30.5468726909,-117.217023028
0.102852726717,-0.204752179956,-0.140798547719,-0.31238117207,140.788095475,-29.6542621697,-114.960325448
0.264863095186,-0.209286540841,-0.13812588041,-0.309030824745,140.84524557,-30.4195357515,-116.129887923
0.216240122829,-0.215286053487,-0.13710326392,-0.306404324865,140.171439823,-30.5242527937,-117.294709803
3.95557406689,-0.225511107939,-0.13554560437,-0.298117930227,139.222660276,-31.6021881785,-121.549816799
0.166732708643,-0.208998543527,-0.138488020128,-0.304902240034,140.394721586,-30.2583457292,-118.974647468
